ID,Name,Type,Price,Serving size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Sugar,Protein
PV_M_1,Alumni_Burger,Main,8.29,1 portion,590,32,8,0.5,85,1010,52,7,5,25
PV_M_2,Classic_Grilled_Cheese,Main,7.99,1 portion,570,55,33,1.5,145,380,7,1,0,13
PV_M_3,Lumberjack_Burger,Main,11.99,1 portion,840,52,18,1.5,110,1880,58,6,12,35
PV_M_4,Cajun_Chicken_Burger,Main,12.99,1 portion,500,9,1,0,120,920,56,4,14,46
PV_M_5,Beyond_Crunch_Burger,Main,10.99,1 portion,700,37,11,0,25,1080,60,9,9,35
PV_M_6,Ultimate_Veggie_Burger,Main,9.99,1 portion,640,28,8,0,15,570,80,15,14,21
PV_M_7,Mediterranean_Bowl,Main,7.99,1 portion,740,49,8,0,30,1470,64,11,9,17
PV_M_8,Thai_Coconut_Bowl,Main,7.99,1 portion,690,26,10,0,0,410,95,12,11,17
PV_M_9,Avocado_Spinach_Pasta,Main,8.99,1 portion,1000,32,6,0,10,370,150,24,7,30
PV_M_10,Gather_Bowl,Main,8.99,1 portion,960,52,6,0,0,440,106,17,13,23
PV_M_11,Fajita_Veg_Bowl,Main,8.99,1 portion,740,21,1.5,0,0,980,121,14,9,19
PV_M_12,Kitsilano_Tofu_Poke_Bowl,Main,7.99,1 portion,680,36,3.5,0,5,630,72,8,6,21
PV_M_13,Acron_Squash_Poke_Bowl,Main,8.99,1 portion,490,12,2,0,0,400,81,9,9,14
PV_M_14,Salmon_&_Ponzu_Poke_Bowl,Main,12.99,1 portion,660,13,2,0,45,1540,96,6,21,28
PV_M_15,Havana_Bowl_Chicken,Main,8.99,1 portion,660,25,6,0,110,610,74,12,7,37
PV_M_16,Havana_Bowl_Tofu,Main,7.99,1 portion,670,30,6,0,0,400,77,14,7,29
PV_M_17,Latino_Bowl,Main,7.99,1 portion,630,27,4,0,15,1660,79,14,8,22
PV_M_18,Porchetta_Pork,Main,8.99,1 portion,1360,137,36,0,120,1300,13,3,4,20
PV_M_19,Cauliflower_Steak,Main,4.99,1 portion,760,69,6,0,0,280,36,11,10,11
PV_S_1,Gather_Side_Salad,Side,5.99,1 portion,120,9,0.5,0,0,45,10,3,4,1
PV_S_2,Classic_Poutine,Side,8.29,1 portion,940,57,17,0,80,2430,80,6,0,24
PV_S_3,Side_Of_Fries,Side,4.69,1 portion,540,26,2,0,0,1350,71,6,0,6
PV_S_4,Side_Of_Chicken_Strips,Side,9.29,1 portion,1280,96,4.5,0,75,1860,67,3,19,37
PV_S_5,Side_Of_Yam_Fries,Side,5.29,1 portion,830,63,6,0,10,650,64,4,19,3
PV_S_6,Add_Bacon,Side,1.99,1 portion,340,32,11,0,70,680,0,0,0,11
PV_S_7,Add_Cheese_Slice,Side,1.19,1 portion,60,5,3,0,15,105,0,0,0,4
PV_S_8,Miso_Soup,Side,2.99,1 portion,70,3,0,0,0,570,5,1,0,6
PV_S_9,Cumin_Lime_Chicken_Taco,Side,3.49,1 portion,240,7,1,0,50,380,28,2,8,13
PV_S_10,Cauliflower_Taco,Side,2.99,1 portion,270,3,0.5,0,0,230,51,6,7,10
PV_S_11,Balck_Bean_Soup,Side,3.99,1 portion,310,9,4,0,0,880,47,7,4,12
PV_S_12,Side_Garlic_Mashed_Potatos,Side,2.49,1 portion,130,1.5,0,0,0,290,27,4,2,3
PV_S_13,Ginger_Broccoli,Side,2.49,1 portion,80,2,0,0,0,1100,10,0,2,6
