,ID,Name,Type,Price,Serving Size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Sugar,Protein,Total Carbs Nutrition Point,Total Fat Nutrition Point,Protein Nutrition Point,Sugar Nutrition Point,Sodium Nutrition Point,Trans Fat Nutrition Point,Saturated Fat Nutrition Point,Cholesterol Nutrition Point,Dietary Fiber Nutrition Point,Nutrition Value,Coefficient,1st Day Variable Name,2nd Day Variable Name,3rd Day Variable Name
0,OC_M_1,Classic_Beef_Burger,Main,6.217499999999999,320,570,29.0,8.0,0.5,80,1320,54,7,7,25,0.007599413429738912,0.9822051874648715,0.7292853499299607,0.9320388349514563,0.47410358565737054,0.96875,0.7777777777777778,0.9430604982206405,0.7333333333333334,6.548153980765151,1.0531811790535024,x_1_2_1_1,x_1_2_1_2,x_1_2_1_3
1,OC_M_2,Classic_Cheese_Burger,Main,6.967499999999999,345,630,33.0,11.0,0.5,95,1430,54,7,7,28,0.007599413429738912,0.999963956733763,0.7618824475728379,0.9320388349514563,0.43027888446215135,0.96875,0.6944444444444444,0.9323843416370107,0.7333333333333334,6.460675656564735,0.9272587953447773,x_1_2_2_1,x_1_2_2_2,x_1_2_2_3
2,OC_M_3,Chickpea_Burger,Main,8.2425,1 Burger,600,20.0,2.0,0.0,0,910,91,14,12,20,0.32660486098069613,0.8174116798598544,0.6731349777542347,0.883495145631068,0.6374501992031872,1.0,0.9444444444444444,1.0,1.0,7.282541307873485,0.8835354938275384,x_1_2_3_1,x_1_2_3_2,x_1_2_3_3
3,OC_M_4,Blackened_Chicken_Burger,Main,8.2425,1 Burger,530,20.0,4.5,0.0,100,1810,51,6,6,38,0.004987780713378148,0.8174116798598544,0.860933945538583,0.941747572815534,0.2788844621513944,1.0,0.875,0.9288256227758007,0.6285714285714286,6.336362492425973,0.7687427955627508,x_1_2_4_1,x_1_2_4_2,x_1_2_4_3
4,OC_M_5,Classic_Grilled_Cheese_Sandwich,Main,5.9925,1 Sandwich,900,56.0,31.0,1.5,130,1020,67,3,3,25,0.038528840471668234,0.5179873701779164,0.7292853499299607,0.970873786407767,0.593625498007968,0.90625,0.13888888888888895,0.9074733096085409,0.3142857142857143,5.117198757778424,0.8539338769759574,x_1_2_5_1,x_1_2_5_2,x_1_2_5_3
5,OC_M_6,Crispy_Fish_Sandwich,Main,8.9925,1 Sandwich,560,16.0,1.0,16.0,35,1220,80,7,11,24,0.14083078510215463,0.7068446143559765,0.718212362798579,0.8932038834951457,0.5139442231075697,0.0,0.9722222222222222,0.9750889679715302,0.7333333333333334,5.653680392386511,0.6287106357949971,x_1_2_6_1,x_1_2_6_2,x_1_2_6_3
6,OC_M_7,Poutine,Main,6.217499999999999,400,880,51.0,16.0,0.0,80,2510,79,6,0,24,0.12895597460968558,0.6672769886608827,0.718212362798579,1.0,0.0,1.0,0.5555555555555556,0.9430604982206405,0.6285714285714286,5.641632808416772,0.9073796233883028,x_1_2_7_1,x_1_2_7_2,x_1_2_7_3
7,OC_M_8,Baja_Salad,Main,7.4925,380,800,69.0,8.0,0.0,15,460,34,9,7,17,0.0003301365454591826,0.20130279857671612,0.6387607755251834,0.9320388349514563,0.8167330677290836,1.0,0.7777777777777778,0.9893238434163701,0.9428571428571428,6.29912437737919,0.8407239742915169,x_1_2_8_1,x_1_2_8_2,x_1_2_8_3
8,OC_M_9,Kale_Caesar,Main,6.7425,210,400,24.0,6.0,0.0,35,1010,33,5,3,15,0.000276541899017177,0.9089325236975146,0.6157099337080009,0.970873786407767,0.597609561752988,1.0,0.8333333333333334,0.9750889679715302,0.5238095238095238,6.425634172579674,0.9530046974534184,x_1_2_9_1,x_1_2_9_2,x_1_2_9_3
9,OC_M_10,Southwest_Bowl,Main,6.7425,1. bowl,880,59.0,4.0,0.0,15,740,64,13,16,11,0.027271196283657023,0.4320732936440381,0.5695938381171387,0.8446601941747574,0.7051792828685259,1.0,0.8888888888888888,0.9893238434163701,1.0,6.456990537393376,0.9576552521161849,x_1_2_10_1,x_1_2_10_2,x_1_2_10_3
10,OC_M_11,Harvest_Squash_Pasta,Main,8.2425,1 Bowl,840,35.0,15.0,0.0,0,730,113,20,20,24,0.8698902584817697,0.9942386168755624,0.718212362798579,0.8058252427184467,0.7091633466135459,1.0,0.5833333333333334,1.0,1.0,7.680663160821237,0.9318365982191371,x_1_2_11_1,x_1_2_11_2,x_1_2_11_3
11,OC_M_12,King_Oyster_Mushroom,Main,6.7425,1 Bowl,600,33.0,2.0,0.0,0,480,64,11,7,18,0.027271196283657023,0.999963956733763,0.6502546088333404,0.9320388349514563,0.8087649402390438,1.0,0.9444444444444444,1.0,1.0,7.362737981485705,1.0919893187223886,x_1_2_12_1,x_1_2_12_2,x_1_2_12_3
12,OC_M_13,Mezze_Platter,Main,6.967499999999999,1 Bowl,590,29.0,1.5,0.0,0,1210,74,14,17,15,0.08063969838222088,0.9822051874648715,0.6157099337080009,0.8349514563106797,0.5179282868525896,1.0,0.9583333333333334,1.0,1.0,6.989767896051696,1.0031959664229202,x_1_2_13_1,x_1_2_13_2,x_1_2_13_3
13,OC_M_14,OK_Flatbread,Main,5.9925,1 Flatbread,480,27.0,6.0,0.0,60,950,38,3,11,11,0.0006576825334898375,0.9592380151471092,0.5695938381171387,0.8932038834951457,0.6215139442231076,1.0,0.8333333333333334,0.9572953736654805,0.3142857142857143,6.149121784800518,1.026136301176557,x_1_2_14_1,x_1_2_14_2,x_1_2_14_3
14,OC_M_17,Vegetable_Burrito,Main,5.9925,1 Burrito,540,14.0,5.0,0.0,1405,5,16,4,89,16,1.0121950100752859e-05,0.6477101909125985,0.6272429855465751,0.13592233009708743,0.99800796812749,1.0,0.8611111111111112,0.0,0.41904761904761906,4.689052326792582,0.7824868296691835,x_1_2_17_1,x_1_2_17_2,x_1_2_17_3
15,OC_M_18,Pulled_Pork_Burrito,Main,6.7425,1 Burrito,710,21.0,7.0,0.0,90,1680,93,6,5,39,0.37112059511839085,0.8424802628487329,0.8697877194814371,0.9514563106796117,0.3306772908366533,1.0,0.8055555555555556,0.9359430604982206,0.6285714285714286,6.7355922235900305,0.9989754873696746,x_1_2_18_1,x_1_2_18_2,x_1_2_18_3
16,OC_M_19,Chicken_Burrito,Main,7.4925,1 Burrito,700,22.0,6.0,0.0,105,1500,92,6,4,35,0.3484891387540051,0.8661926644308212,0.8330981166551059,0.9611650485436893,0.40239043824701193,1.0,0.8333333333333334,0.9252669039145908,0.6285714285714286,6.798507072449985,0.9073749846446427,x_1_2_19_1,x_1_2_19_2,x_1_2_19_3
17,OC_S_1,Side_Chicken_Stripts,Side,6.967499999999999,250,1330,95.0,4.5,0.0,75,1810,78,3,29,36,0.1178540581914975,0.008778031985337156,0.8425802447666401,0.7184466019417476,0.2788844621513944,1.0,0.875,0.9466192170818505,0.3142857142857143,5.10244833040418,0.7323212530181816,x_2_2_1_1,x_2_2_1_2,x_2_2_1_3
